Y_test,A_test,Y_score_raw_data,Y_pred_raw_data,Y_score_standard_PCA,Y_pred_standard_PCA,Y_score_fair_PCA,Y_pred_fair_PCA,Y_score_LAFTR,Y_pred_LAFTR
1,0,0.26258814334869385,0,0.6032071709632874,1,0.5605707168579102,1,0.2987542748451233,0
0,1,7.600426670251181e-07,0,0.046123333275318146,0,0.03186818212270737,0,0.06901486963033676,0
0,0,0.34798967838287354,0,0.340699702501297,0,0.34595787525177,0,0.40544208884239197,0
0,1,0.02109578810632229,0,0.2907213568687439,0,0.3168039619922638,0,0.07260984182357788,0
0,1,0.31296300888061523,0,0.25259536504745483,0,0.34155458211898804,0,0.8576809763908386,1
1,0,1.0,1,0.1377095878124237,0,0.06656502187252045,0,0.9998517036437988,1
0,0,0.5574562549591064,1,0.572670042514801,1,0.572076141834259,1,0.5164833068847656,1
0,0,8.446502874903672e-08,0,0.017992815002799034,0,0.008331195451319218,0,0.0029604253359138966,0
1,0,0.9999988079071045,1,0.855692446231842,1,0.9101380705833435,1,0.9995230436325073,1
1,0,0.2895737886428833,0,0.7265132069587708,1,0.734086275100708,1,0.3789691627025604,0
0,1,0.00016495215822942555,0,0.0021385480649769306,0,0.014487924985587597,0,0.016599738970398903,0
0,0,8.879680535756052e-05,0,0.0023374466691166162,0,0.0016393072437494993,0,0.000799638859461993,0
0,0,0.006026877090334892,0,0.013100676238536835,0,0.009956308640539646,0,0.023728342726826668,0
0,1,6.671906885458156e-05,0,0.18356269598007202,0,0.09830771386623383,0,0.04403321072459221,0
1,1,0.7680822014808655,1,0.5950552225112915,1,0.6986176371574402,1,0.7773720622062683,1
0,0,0.815682590007782,1,0.7512960433959961,1,0.7505905032157898,1,0.8231620192527771,1
0,0,0.08703989535570145,0,0.07728352397680283,0,0.08432093262672424,0,0.02853650040924549,0
1,0,0.8106261491775513,1,0.7238506078720093,1,0.7224056720733643,1,0.875560998916626,1
1,0,0.12418942153453827,0,0.3259529173374176,0,0.33713290095329285,0,0.06615426391363144,0
0,0,8.976760462820938e-19,0,0.0009236628538928926,0,0.0008840245427563787,0,0.0018137729493901134,0
0,1,2.8946108159288997e-06,0,0.0020421077497303486,0,0.006194886285811663,0,0.06351813673973083,0
0,1,2.0724763089674525e-05,0,0.011252923868596554,0,0.0370054617524147,0,0.07261382043361664,0
0,0,0.24450646340847015,0,0.3930038809776306,0,0.3736956715583801,0,0.16118009388446808,0
0,1,1.0978237857663337e-16,0,2.8291301532590296e-06,0,0.00026177518884651363,0,4.878717845713254e-06,0
0,0,0.21308043599128723,0,0.7225093245506287,1,0.5342957377433777,1,0.2399328202009201,0
0,0,2.104621771426025e-17,0,0.0815768614411354,0,0.0026632321532815695,0,0.11934506148099899,0
0,0,5.763365697839949e-16,0,0.02269948087632656,0,0.014912737533450127,0,0.01187978032976389,0
0,0,0.0001251871435670182,0,0.04608708620071411,0,0.06669032573699951,0,0.04872532933950424,0
0,0,0.34974631667137146,0,0.5250257849693298,1,0.3061016798019409,0,0.10228510200977325,0
0,0,4.618495950126089e-07,0,0.024062104523181915,0,0.028830433264374733,0,0.011144881136715412,0
0,0,0.9148882627487183,1,0.3584941327571869,0,0.41035714745521545,0,0.4096399247646332,0
0,0,0.40541693568229675,0,0.3364485204219818,0,0.3564513623714447,0,0.2610572278499603,0
1,0,1.0,1,0.7535432577133179,1,0.757111668586731,1,0.9997010231018066,1
0,1,4.124144974907828e-15,0,2.9811382773914374e-05,0,0.0005237115547060966,0,3.368054706243129e-07,0
0,0,5.032879357713682e-07,0,3.8382611819542944e-05,0,0.00013962209050077945,0,1.239894572790945e-06,0
0,0,1.0,1,0.8039454221725464,1,0.8217669129371643,1,0.9919759631156921,1
1,0,0.9999979734420776,1,0.6502847075462341,1,0.5844571590423584,1,0.9647013545036316,1
0,0,0.006865780334919691,0,0.1103273555636406,0,0.10144424438476562,0,0.055571578443050385,0
0,1,2.161141932077726e-09,0,0.0004058393242303282,0,0.0005270783440209925,0,0.00023131097259465605,0
1,1,1.0,1,0.6110604405403137,1,0.4180574119091034,0,0.9888367652893066,1
0,1,0.10985779017210007,0,0.04985006898641586,0,0.03717182204127312,0,0.22664712369441986,0
0,0,4.898377814477328e-10,0,0.006811665371060371,0,0.006768593564629555,0,0.0035339866299182177,0
0,0,0.023638656362891197,0,0.020980875939130783,0,0.06245788186788559,0,0.01818561926484108,0
0,0,8.84953077882839e-19,0,0.023046184331178665,0,0.007745760027319193,0,0.0032024697866290808,0
