Y_test,A_test,Y_score_raw_data,Y_pred_raw_data,Y_score_standard_PCA,Y_pred_standard_PCA,Y_score_fair_PCA,Y_pred_fair_PCA,Y_score_LAFTR,Y_pred_LAFTR
0,1,0.34357255697250366,0,0.37678638100624084,0,0.39552122354507446,0,0.3463415801525116,0
0,1,0.11327384412288666,0,0.18154080212116241,0,0.2566812336444855,0,0.21454638242721558,0
0,1,0.7446302771568298,1,0.59104323387146,1,0.6629189252853394,1,0.6201556324958801,1
1,1,0.3471362292766571,0,0.24121642112731934,0,0.2696686387062073,0,0.3578612208366394,0
0,1,0.14185787737369537,0,0.2089124172925949,0,0.2310076653957367,0,0.08353089541196823,0
0,1,0.3422620892524719,0,0.534086287021637,1,0.5652804970741272,1,0.2451770156621933,0
1,0,0.5875478982925415,1,0.5388336181640625,1,0.4719160497188568,0,0.5866574048995972,1
1,0,0.662300169467926,1,0.7845163941383362,1,0.7396349310874939,1,0.645759105682373,1
0,0,0.6304543018341064,1,0.4140186905860901,0,0.3046339154243469,0,0.48075807094573975,0
1,1,0.7087752819061279,1,0.6425569653511047,1,0.7794484496116638,1,0.7493350505828857,1
0,1,0.46411922574043274,0,0.6197395324707031,1,0.7806093096733093,1,0.5944252610206604,1
0,1,0.34622722864151,0,0.3186269998550415,0,0.33314740657806396,0,0.31402841210365295,0
0,0,0.1563609093427658,0,0.3438867926597595,0,0.2402748465538025,0,0.25148969888687134,0
0,1,0.20869900286197662,0,0.19449539482593536,0,0.21326225996017456,0,0.19851917028427124,0
0,0,0.046139851212501526,0,0.3134809732437134,0,0.25706353783607483,0,0.22557826340198517,0
1,0,0.21088294684886932,0,0.34241780638694763,0,0.2349175214767456,0,0.2644970118999481,0
0,0,0.8278092741966248,1,0.766184389591217,1,0.5568439960479736,1,0.9062644839286804,1
0,1,0.6013540625572205,1,0.4943273067474365,0,0.5201835632324219,1,0.4866648018360138,0
0,0,0.5310816168785095,1,0.21051347255706787,0,0.15228012204170227,0,0.38777485489845276,0
1,0,0.30117544531822205,0,0.5647956132888794,1,0.6147171258926392,1,0.47526243329048157,0
1,0,0.5756461024284363,1,0.5360293388366699,1,0.5644176602363586,1,0.5701186060905457,1
1,1,0.24938982725143433,0,0.6183463335037231,1,0.7802608013153076,1,0.45510587096214294,0
1,1,0.7107088565826416,1,0.7513090372085571,1,0.7854728102684021,1,0.7533687353134155,1
1,1,0.48298871517181396,0,0.37749025225639343,0,0.3961349427700043,0,0.32308775186538696,0
0,1,0.0544431135058403,0,0.20967812836170197,0,0.23163975775241852,0,0.11002548784017563,0
1,1,0.7496750950813293,1,0.6080536842346191,1,0.7597557902336121,1,0.775682806968689,1
0,1,0.31803303956985474,0,0.33856555819511414,0,0.3679659068584442,0,0.3035367429256439,0
0,1,0.7481552362442017,1,0.6610715389251709,1,0.7931760549545288,1,0.6734805107116699,1
1,0,0.4461323022842407,0,0.47516873478889465,0,0.40186697244644165,0,0.3612724542617798,0
0,1,0.3051285147666931,0,0.43841734528541565,0,0.4456217885017395,0,0.5007374286651611,1
0,1,0.5237820744514465,1,0.6518967747688293,1,0.6907787322998047,1,0.6021368503570557,1
0,0,0.3522036075592041,0,0.5295961499214172,1,0.5463054776191711,1,0.49937814474105835,0
0,1,0.19756798446178436,0,0.267328143119812,0,0.2743580639362335,0,0.3013302683830261,0
0,0,0.2097482830286026,0,0.3671018183231354,0,0.27473175525665283,0,0.20269453525543213,0
1,0,0.9342119097709656,1,0.8908024430274963,1,0.8019950985908508,1,0.8940126895904541,1
1,1,0.45534831285476685,0,0.552558422088623,1,0.6190513968467712,1,0.507058322429657,1
0,0,0.21307095885276794,0,0.46901965141296387,0,0.36940765380859375,0,0.26138707995414734,0
0,1,0.5853116512298584,1,0.5375293493270874,1,0.4769984781742096,0,0.5432610511779785,1
1,1,0.6896857619285583,1,0.6553457379341125,1,0.6962012052536011,1,0.6988682150840759,1
1,0,0.3787170946598053,0,0.5312716960906982,1,0.5469782948493958,1,0.3786535859107971,0
1,1,0.8942245841026306,1,0.5648865699768066,1,0.6073259115219116,1,0.5929518938064575,1
1,1,0.9100224375724792,1,0.7475844025611877,1,0.8229146003723145,1,0.8202506899833679,1
1,0,0.30117544531822205,0,0.5647956132888794,1,0.6147171258926392,1,0.47526243329048157,0
0,1,0.321621835231781,0,0.1564657986164093,0,0.1891392469406128,0,0.17253881692886353,0
0,1,0.21279774606227875,0,0.30381831526756287,0,0.3196179270744324,0,0.27926793694496155,0
0,0,0.23857592046260834,0,0.4007834196090698,0,0.29047006368637085,0,0.3626995384693146,0
0,0,0.3448052704334259,0,0.4728230834007263,0,0.3865046501159668,0,0.39148983359336853,0
1,1,0.32593202590942383,0,0.42046576738357544,0,0.44541314244270325,0,0.37720251083374023,0
1,0,0.32593202590942383,0,0.42046576738357544,0,0.3212495744228363,0,0.37720251083374023,0
0,0,0.1954064816236496,0,0.16236542165279388,0,0.1323992908000946,0,0.08712048828601837,0
0,1,0.34357255697250366,0,0.37678638100624084,0,0.39552122354507446,0,0.3463415801525116,0
1,1,0.8364641070365906,1,0.5369189381599426,1,0.48698100447654724,0,0.7846811413764954,1
1,0,0.7107088565826416,1,0.7513090372085571,1,0.7130880355834961,1,0.7533687353134155,1
0,0,0.08954131603240967,0,0.18614564836025238,0,0.14414091408252716,0,0.10902721434831619,0
0,1,0.20695258677005768,0,0.5473935008049011,1,0.49208614230155945,0,0.6517199277877808,1
0,1,0.17560988664627075,0,0.23860350251197815,0,0.24854445457458496,0,0.22420206665992737,0
1,0,0.5515096187591553,1,0.6513100862503052,1,0.7094346880912781,1,0.6919146776199341,1
